CPU	 1	 0.216675
CPU	 3	 0.183325
CPU	 7	 0.183325
CPU	 13	 0.18335
CPU	 5	 0.2
CPU	 9	 0.18335
CPU	 11	 0.36665
CPU	 15	 0.35
CPU	 19	 0.333325
CPU	 17	 0.25
CPU	 27	 0.183325
CPU	 25	 0.383325
CPU	 21	 0.18335
CPU	 23	 0.18335
CPU	 29	 0.166675
CPU	 31	 0.183325
CPU	 33	 0.183325
CPU	 35	 0.233325
CPU	 37	 0.36665
CPU	 39	 0.183325
CPU	 43	 0.18335
CPU	 41	 0.18335
CPU	 45	 0.183325
CPU	 51	 0.16665
CPU	 47	 0.183325
CPU	 53	 0.18335
CPU	 49	 0.18335
CPU	 55	 0.183325
CPU	 59	 0.166675
CPU	 57	 0.16665
CPU	 61	 0.3
CPU	 63	 0.183325
CPU	 67	 0.18335
CPU	 69	 0.333325
CPU	 65	 0.316675
CPU	 73	 0.18335
CPU	 71	 0.183325
CPU	 75	 0.18335
CPU	 77	 0.183325
CPU	 79	 0.2
CPU	 81	 0.183325
CPU	 87	 0.333325
CPU	 83	 0.166675
CPU	 85	 0.35
CPU	 91	 0.35
CPU	 93	 0.166675
CPU	 89	 0.216675
CPU	 95	 0.2
CPU	 97	 0.18335
CPU	 99	 0.18335
IO	 10	 11.3834
IO	 16	 10.8667
IO	 50	 7.85
IO	 6	 12.0333
IO	 0	 12.4333
IO	 22	 10.3666
IO	 8	 11.65
IO	 92	 3.98332
IO	 96	 3.61665
IO	 68	 6.36667
IO	 58	 6.75
IO	 28	 9.63332
IO	 30	 9.63332
IO	 4	 12.05
IO	 36	 9.23333
IO	 2	 12.45
IO	 26	 9.63332
IO	 18	 10.9
IO	 38	 9.01667
IO	 72	 5.53335
IO	 56	 7.3
IO	 60	 6.96668
IO	 34	 9.25
IO	 44	 8.3
IO	 32	 9.48333
IO	 62	 6.63333
IO	 88	 4.25
IO	 40	 8.7
IO	 42	 8.5
IO	 54	 7.36665
IO	 80	 4.98332
IO	 70	 6.08333
IO	 12	 11.5
IO	 84	 4.63333
IO	 24	 10.2166
IO	 66	 6.45
IO	 64	 6.63333
IO	 82	 4.8
IO	 20	 10.9333
IO	 14	 11.3166
IO	 52	 7.55
IO	 86	 4.63333
IO	 98	 3.26665
IO	 74	 5.56668
IO	 78	 5.38333
IO	 46	 8.33333
IO	 76	 5.38333
IO	 94	 3.8
IO	 90	 3.86667
IO	 48	 8.13332
