CPU	 1	 0.13335
CPU	 3	 0.13335
CPU	 5	 0.11665
CPU	 7	 0.15
CPU	 9	 0.15
CPU	 11	 0.133325
CPU	 13	 0.15
CPU	 15	 0.15
CPU	 17	 0.133325
CPU	 19	 0.11665
CPU	 21	 0.15
CPU	 23	 0.166675
CPU	 25	 0.15
CPU	 27	 0.18335
CPU	 29	 0.15
CPU	 31	 0.13335
CPU	 33	 0.13335
CPU	 35	 0.15
CPU	 37	 0.166675
CPU	 39	 0.166675
CPU	 41	 0.16665
CPU	 43	 0.166675
CPU	 45	 0.25
CPU	 47	 0.25
CPU	 49	 0.25
CPU	 51	 0.216675
CPU	 53	 0.133325
CPU	 55	 0.15
CPU	 57	 0.166675
CPU	 59	 0.15
CPU	 61	 0.166675
CPU	 63	 0.166675
CPU	 65	 0.16665
CPU	 67	 0.166675
CPU	 69	 0.133325
CPU	 71	 0.15
CPU	 73	 0.133325
CPU	 75	 0.15
CPU	 77	 0.133325
CPU	 79	 0.133325
CPU	 81	 0.133325
CPU	 83	 0.15
CPU	 85	 0.13335
CPU	 87	 0.13335
CPU	 89	 0.13335
CPU	 91	 0.116675
CPU	 93	 0.233325
CPU	 95	 0.233325
CPU	 97	 0.233325
CPU	 99	 0.23335
IO	 0	 9.81668
IO	 2	 9.66667
IO	 4	 9.53332
IO	 6	 9.41667
IO	 8	 9.26667
IO	 10	 9.1
IO	 12	 8.95
IO	 14	 8.8
IO	 16	 8.63332
IO	 18	 8.48333
IO	 20	 8.36668
IO	 22	 8.2
IO	 24	 8.03332
IO	 26	 7.86667
IO	 28	 7.68332
IO	 30	 7.51668
IO	 32	 7.36667
IO	 34	 7.21668
IO	 36	 7.06668
IO	 38	 6.9
IO	 40	 6.73332
IO	 42	 6.56668
IO	 44	 6.38333
IO	 46	 6.13333
IO	 48	 5.86667
IO	 50	 5.61667
IO	 52	 5.38333
IO	 54	 5.25
IO	 56	 5.1
IO	 58	 4.91667
IO	 60	 4.76668
IO	 62	 4.61667
IO	 64	 4.45
IO	 66	 4.28335
IO	 68	 4.1
IO	 70	 3.96667
IO	 72	 3.81668
IO	 74	 3.66668
IO	 76	 3.51668
IO	 78	 3.36667
IO	 80	 3.21667
IO	 82	 3.08335
IO	 84	 2.93335
IO	 86	 2.78335
IO	 88	 2.63335
IO	 90	 2.48335
IO	 92	 2.35
IO	 94	 2.11667
IO	 96	 1.86668
IO	 98	 1.63335
