CPU	 1	 0.13335
CPU	 3	 0.133325
CPU	 5	 0.133325
CPU	 7	 0.133325
CPU	 9	 0.133325
CPU	 11	 0.116675
CPU	 13	 0.15
CPU	 15	 0.133325
CPU	 17	 0.15
CPU	 19	 0.133325
CPU	 21	 0.15
CPU	 23	 0.13335
CPU	 25	 0.116675
CPU	 27	 0.15
CPU	 29	 0.11665
CPU	 31	 0.133325
CPU	 33	 0.13335
CPU	 35	 0.13335
CPU	 37	 0.15
CPU	 39	 0.11665
CPU	 41	 0.133325
CPU	 43	 0.13335
CPU	 45	 0.13335
CPU	 47	 0.133325
CPU	 49	 0.133325
IO	 0	 4.18335
IO	 2	 4.05
IO	 4	 3.9
IO	 6	 3.76668
IO	 8	 3.61667
IO	 10	 3.46667
IO	 12	 3.35
IO	 14	 3.2
IO	 16	 3.08332
IO	 18	 2.93332
IO	 20	 2.8
IO	 22	 2.65
IO	 24	 2.5
IO	 26	 2.38333
IO	 28	 2.23332
IO	 30	 2.08332
IO	 32	 1.95
IO	 34	 1.8
IO	 36	 1.66665
IO	 38	 1.51665
IO	 40	 1.38332
IO	 42	 1.25
IO	 44	 1.1
IO	 46	 0.96665
IO	 48	 0.81665
