CPU	 1	 0.216675
CPU	 3	 0.2
CPU	 5	 0.183325
CPU	 7	 0.183325
CPU	 9	 0.2
CPU	 11	 0.2
CPU	 13	 0.2
CPU	 15	 0.18335
CPU	 17	 0.183325
CPU	 19	 0.2
CPU	 21	 0.2
CPU	 23	 0.2
CPU	 25	 0.2
CPU	 27	 0.166675
CPU	 29	 0.183325
CPU	 31	 0.21665
CPU	 33	 0.18335
CPU	 35	 0.25
CPU	 37	 0.183325
CPU	 39	 0.183325
CPU	 41	 0.18335
CPU	 43	 0.2
CPU	 45	 0.2
CPU	 47	 0.21665
CPU	 49	 0.216675
IO	 0	 5.86667
IO	 2	 5.65
IO	 4	 5.45
IO	 6	 5.26668
IO	 8	 5.08335
IO	 10	 4.88335
IO	 12	 4.68335
IO	 14	 4.48335
IO	 16	 4.3
IO	 18	 4.11667
IO	 20	 3.91668
IO	 22	 3.71667
IO	 24	 3.51668
IO	 26	 3.31668
IO	 28	 3.15
IO	 30	 2.96667
IO	 32	 2.73335
IO	 34	 2.55
IO	 36	 2.3
IO	 38	 2.11667
IO	 40	 1.93335
IO	 42	 1.75
IO	 44	 1.55
IO	 46	 1.35
IO	 48	 1.13335
