CPU	 1	 0.133325
CPU	 3	 0.13335
CPU	 5	 0.15
CPU	 7	 0.133325
CPU	 9	 0.133325
CPU	 11	 0.15
CPU	 13	 0.116675
CPU	 15	 0.133325
CPU	 17	 0.133325
CPU	 19	 0.13335
CPU	 21	 0.15
CPU	 23	 0.133325
CPU	 25	 0.133325
CPU	 27	 0.133325
CPU	 29	 0.13335
CPU	 31	 0.15
CPU	 33	 0.15
CPU	 35	 0.133325
CPU	 37	 0.15
CPU	 39	 0.133325
CPU	 41	 0.133325
CPU	 43	 0.15
CPU	 45	 0.13335
CPU	 47	 0.133325
CPU	 49	 0.133325
CPU	 51	 0.133325
CPU	 53	 0.133325
CPU	 55	 0.133325
CPU	 57	 0.13335
CPU	 59	 0.133325
CPU	 61	 0.133325
CPU	 63	 0.133325
CPU	 65	 0.133325
CPU	 67	 0.15
CPU	 69	 0.13335
CPU	 71	 0.116675
CPU	 73	 0.15
CPU	 75	 0.15
CPU	 77	 0.15
CPU	 79	 0.133325
CPU	 81	 0.15
CPU	 83	 0.133325
CPU	 85	 0.13335
CPU	 87	 0.13335
CPU	 89	 0.15
CPU	 91	 0.133325
CPU	 93	 0.133325
CPU	 95	 0.133325
CPU	 97	 0.133325
CPU	 99	 0.133325
IO	 0	 8.48333
IO	 2	 8.35
IO	 4	 8.21665
IO	 6	 8.06665
IO	 8	 7.93332
IO	 10	 7.8
IO	 12	 7.65
IO	 14	 7.53332
IO	 16	 7.38333
IO	 18	 7.25
IO	 20	 7.11665
IO	 22	 6.96665
IO	 24	 6.83333
IO	 26	 6.68332
IO	 28	 6.55
IO	 30	 6.41665
IO	 32	 6.26665
IO	 34	 6.11665
IO	 36	 5.98332
IO	 38	 5.83333
IO	 40	 5.68332
IO	 42	 5.55
IO	 44	 5.4
IO	 46	 5.26665
IO	 48	 5.11665
IO	 50	 4.98332
IO	 52	 4.83333
IO	 54	 4.68332
IO	 56	 4.55
IO	 58	 4.41665
IO	 60	 4.26665
IO	 62	 4.11665
IO	 64	 3.98332
IO	 66	 3.85
IO	 68	 3.7
IO	 70	 3.55
IO	 72	 3.41665
IO	 74	 3.26665
IO	 76	 3.11665
IO	 78	 2.96665
IO	 80	 2.83332
IO	 82	 2.7
IO	 84	 2.56668
IO	 86	 2.41668
IO	 88	 2.28333
IO	 90	 2.13333
IO	 92	 1.98333
IO	 94	 1.83333
IO	 96	 1.68332
IO	 98	 1.55
